Stream, Time Stamp, Data
R,pause,OFF
E4_Bvp,1652302752.4941,3.086447
E4_Bvp,1652302752.50972,1.856621
E4_Bvp,1652302752.52535,0.9813483
E4_Bvp,1652302752.54097,0.5342097
E4_Bvp,1652302752.5566,0.4451337
E4_Bvp,1652302752.57223,0.5179379
E4_Bvp,1652302752.58785,0.4294972
E4_Bvp,1652302752.60348,-0.1610985
E4_Bvp,1652302752.6191,-1.448159
E4_Bvp,1652302752.63473,-3.388811
E4_Bvp,1652302752.65035,-5.686527
E4_Bvp,1652302752.66598,-7.911717
E4_Bvp,1652302752.68161,-9.684505
E4_Bvp,1652302752.69723,-10.85573
E4_Bvp,1652302752.71286,-11.54705
E4_Bvp,1652302752.72848,-12.07318
E4_Bvp,1652302752.74411,-12.76488
E4_Bvp,1652302752.75973,-13.79876
E4_Bvp,1652302752.77536,-15.13836
E4_Bvp,1652302752.79099,-16.57143
E4_Bvp,1652302752.80661,-17.81233
E4_Bvp,1652302752.82224,-18.6069
E4_Bvp,1652302752.83786,-18.80338
E4_Bvp,1652302752.85349,-18.32484
E4_Bvp,1652302752.86911,-17.18619
E4_Bvp,1652302752.88474,-15.46625
E4_Bvp,1652302752.90037,-13.27051
E4_Bvp,1652302752.91599,-10.72425
E4_Bvp,1652302752.93162,-7.955912
E4_Bvp,1652302752.94724,-5.117788
E4_Bvp,1652302752.96287,-2.349639
E4_Bvp,1652302752.97849,0.1691202
E4_Bvp,1652302752.99412,2.276172
ManipulatedHR,1652302744.83227,64.02541
E4_Bvp,1652302753.00975,3.838072
E4_Hr,1652302744.83227,57.31077
E4_Ibi,1652302744.83227,1.046924
E4_Bvp,1652302753.02537,4.806836
E4_Bvp,1652302753.041,5.257885
E4_Bvp,1652302753.05662,5.376344
E4_Bvp,1652302753.07225,5.414222
E4_Bvp,1652302753.08787,5.612669
E4_Bvp,1652302753.1035,6.105012
E4_Bvp,1652302753.11913,6.88669
E4_Bvp,1652302753.13475,7.836917
E4_Bvp,1652302753.15038,8.779848
E4_Bvp,1652302753.166,9.594161
E4_Bvp,1652302753.18163,10.25818
E4_Bvp,1652302753.19725,10.85807
E4_Bvp,1652302753.21288,11.52831
E4_Bvp,1652302753.22851,12.35734
E4_Bvp,1652302753.24413,13.29906
E4_Bvp,1652302753.25976,14.16415
E4_Bvp,1652302753.27538,14.68752
E4_Bvp,1652302753.29101,14.63221
E4_Bvp,1652302753.30663,13.91733
E4_Bvp,1652302753.32226,12.63798
E4_Bvp,1652302753.33789,11.01575
E4_Gsr,1652302752.028,0.5715843
E4_Gsr,1652302752.278,0.5677586
E4_Gsr,1652302752.528,0.565208
E4_Gsr,1652302752.778,0.5664833
E4_Gsr,1652302753.028,0.5639327
E4_Gsr,1652302753.278,0.5690338
E4_Bvp,1652302753.35351,9.324802
E4_Bvp,1652302753.36914,7.775624
E4_Bvp,1652302753.38476,6.471738
E4_Bvp,1652302753.40039,5.41731
E4_Bvp,1652302753.41601,4.597728
E4_Bvp,1652302753.43164,4.002092
E4_Bvp,1652302753.44727,3.623689
E4_Bvp,1652302753.46289,3.459416
E4_Bvp,1652302753.47852,3.462012
E4_Bvp,1652302753.49414,3.531084
E4_Bvp,1652302753.50977,3.539752
E4_Bvp,1652302753.52539,3.385075
E4_Bvp,1652302753.54102,3.013381
E4_Bvp,1652302753.55665,2.436494
E4_Bvp,1652302753.57227,1.674867
E4_Bvp,1652302753.5879,0.7393882
E4_Bvp,1652302753.60352,-0.4020715
E4_Bvp,1652302753.61915,-1.781907
E4_Bvp,1652302753.63477,-3.357506
E4_Bvp,1652302753.6504,-4.979011
E4_Bvp,1652302753.66603,-6.405082
E4_Bvp,1652302753.68165,-7.400003
E4_Bvp,1652302753.69728,-7.871609
E4_Bvp,1652302753.7129,-7.958261
E4_Bvp,1652302753.72853,-7.950628
E4_Bvp,1652302753.74415,-8.180249
E4_Bvp,1652302753.75978,-8.823708
E4_Bvp,1652302753.77541,-9.842319
E4_Bvp,1652302753.79103,-11.05975
