Stream; Time Stamp; Data
R;pause;OFF
E4_Bvp;1652178251,59144;-15,00394
E4_Bvp;1652178251,60707;-18,70938
E4_Bvp;1652178251,62269;-22,32528
E4_Bvp;1652178251,63832;-25,78785
E4_Bvp;1652178251,65394;-28,9631
E4_Bvp;1652178251,66957;-31,50812
E4_Bvp;1652178251,6852;-32,94051
E4_Bvp;1652178251,70082;-32,69604
E4_Bvp;1652178251,71645;-30,3772
E4_Bvp;1652178251,73207;-25,91899
E4_Bvp;1652178251,7477;-19,67509
E4_Gsr;1652178250,516;0,3562529
E4_Gsr;1652178250,766;0,3562529
E4_Gsr;1652178251,016;0,3549714
E4_Gsr;1652178251,266;0,3549714
E4_Gsr;1652178251,516;0,3575344
E4_Gsr;1652178251,766;0,3588159
ManipulatedHR;1652178246,57379;0
E4_Bvp;1652178251,76332;-12,36073
E4_Bvp;1652178251,77895;-4,825481
E4_Bvp;1652178251,79458;2,196766
E4_Bvp;1652178251,8102;8,268562
E4_Hr;1652178246,57379;98,45699
E4_Ibi;1652178246,57379;0,6094031
E4_Bvp;1652178251,82583;13,21626
E4_Bvp;1652178251,84145;17,09547
E4_Bvp;1652178251,85708;19,97225
E4_Bvp;1652178251,8727;21,85437
E4_Bvp;1652178251,88833;22,69263
E4_Bvp;1652178251,90396;22,45159
E4_Bvp;1652178251,91958;21,21392
E4_Bvp;1652178251,93521;19,20205
E4_Bvp;1652178251,95083;16,76797
E4_Bvp;1652178251,96646;14,25738
E4_Bvp;1652178251,98208;11,95433
E4_Bvp;1652178251,99771;9,99268
E4_Bvp;1652178252,01334;8,389309
E4_Bvp;1652178252,02896;7,046932
E4_Bvp;1652178252,04459;5,859592
E4_Bvp;1652178252,06021;4,715015
E4_Bvp;1652178252,07584;3,512371
E4_Bvp;1652178252,09146;2,149433
E4_Bvp;1652178252,10709;0,5249062
E4_Bvp;1652178252,12272;-1,425495
E4_Bvp;1652178252,13834;-3,728638
E4_Bvp;1652178252,15397;-6,331139
E4_Bvp;1652178252,16959;-9,080837
E4_Bvp;1652178252,18522;-11,77934
E4_Bvp;1652178252,20084;-14,21542
E4_Bvp;1652178252,21647;-16,25526
E4_Bvp;1652178252,2321;-17,90618
E4_Bvp;1652178252,24772;-19,39211
E4_Bvp;1652178252,26335;-21,06102
E4_Bvp;1652178252,27897;-23,3022
E4_Bvp;1652178252,2946;-26,28551
E4_Bvp;1652178252,31022;-29,82288
E4_Bvp;1652178252,32585;-33,23689
E4_Bvp;1652178252,34148;-35,50696
E4_Bvp;1652178252,3571;-35,58168
E4_Bvp;1652178252,37273;-32,75896
E4_Bvp;1652178252,38835;-27,0191
E4_Bvp;1652178252,40398;-19,03851
E4_Bvp;1652178252,4196;-10,00626
E4_Bvp;1652178252,43523;-1,194061
ManipulatedHR;1652178247,21445;0
E4_Bvp;1652178252,45086;6,421837
E4_Bvp;1652178252,46648;12,36971
E4_Hr;1652178247,21445;93,65418
E4_Ibi;1652178247,21445;0,6406548
E4_Bvp;1652178252,48211;16,62383
E4_Bvp;1652178252,49773;19,41295
E4_Bvp;1652178252,51336;21,03148
E4_Bvp;1652178252,52898;21,66381
E4_Bvp;1652178252,54461;21,45668
E4_Bvp;1652178252,56024;20,56006
E4_Bvp;1652178252,57586;19,20428
E4_Bvp;1652178252,59149;17,68255
E4_Bvp;1652178252,60711;16,27666
E4_Bvp;1652178252,62274;15,14687
E4_Bvp;1652178252,63836;14,33109
E4_Bvp;1652178252,65399;13,71978
E4_Bvp;1652178252,66962;13,15717
E4_Bvp;1652178252,68524;12,53214
E4_Bvp;1652178252,70087;11,80177
E4_Bvp;1652178252,71649;11,01617
E4_Bvp;1652178252,73212;10,23396
E4_Bvp;1652178252,74774;9,474518
E4_Bvp;1652178252,76337;8,660767
E4_Bvp;1652178252,779;7,672195
E4_Bvp;1652178252,79462;6,383034
E4_Bvp;1652178252,81025;4,738647
E4_Bvp;1652178252,82587;2,818184
E4_Bvp;1652178252,8415;0,7542572
E4_Bvp;1652178252,85712;-1,324417
E4_Bvp;1652178252,87275;-3,350143
E4_Bvp;1652178252,88838;-5,357697
E4_Bvp;1652178252,904;-7,486534
E4_Bvp;1652178252,91963;-9,882942
E4_Bvp;1652178252,93525;-12,63828
E4_Bvp;1652178252,95088;-15,72536
E4_Bvp;1652178252,9665;-18,9238
E4_Bvp;1652178252,98213;-21,84347
E4_Bvp;1652178252,99776;-23,96819
E4_Bvp;1652178253,01338;-24,74048
E4_Bvp;1652178253,02901;-23,73432
E4_Bvp;1652178253,04463;-20,78663
E4_Bvp;1652178253,06026;-16,04171
E4_Bvp;1652178253,07588;-9,955711
E4_Bvp;1652178253,09151;-3,148705
E4_Bvp;1652178253,10714;3,733749
E4_Bvp;1652178253,12276;10,12625
E4_Gsr;1652178252,016;0,3588159
E4_Gsr;1652178252,266;0,3588159
E4_Gsr;1652178252,516;0,3562529
E4_Gsr;1652178252,766;0,3562529
E4_Gsr;1652178253,016;0,35369
E4_Gsr;1652178253,266;0,3562529
ManipulatedHR;1652178247,87073;0
E4_Hr;1652178247,87073;91,42435
E4_Ibi;1652178247,87073;0,6562803
E4_Bvp;1652178253,13839;15,64161
E4_Bvp;1652178253,15401;20,01769
E4_Bvp;1652178253,16964;23,10826
E4_Bvp;1652178253,18526;24,83102
E4_Bvp;1652178253,20089;25,21285
E4_Bvp;1652178253,21652;24,40931
E4_Bvp;1652178253,23214;22,72938
E4_Bvp;1652178253,24777;20,53768
E4_Bvp;1652178253,26339;18,19703
E4_Bvp;1652178253,27902;15,92867
E4_Bvp;1652178253,29464;13,81721
E4_Bvp;1652178253,31027;11,84518
E4_Bvp;1652178253,3259;10,01278
E4_Bvp;1652178253,34152;8,437653
E4_Bvp;1652178253,35715;7,263191
E4_Bvp;1652178253,37277;6,596237
E4_Bvp;1652178253,3884;6,403252
E4_Bvp;1652178253,40402;6,458244
E4_Bvp;1652178253,41965;6,446976
E4_Bvp;1652178253,43528;6,100449
E4_Bvp;1652178253,4509;5,271332
E4_Bvp;1652178253,46653;3,995529
E4_Bvp;1652178253,48215;2,422958
E4_Bvp;1652178253,49778;0,6953506
E4_Bvp;1652178253,51341;-1,061272
E4_Bvp;1652178253,52903;-2,830536
E4_Bvp;1652178253,54466;-4,671974
E4_Bvp;1652178253,56028;-6,712944
E4_Bvp;1652178253,57591;-9,106987
E4_Bvp;1652178253,59153;-11,97914
E4_Bvp;1652178253,60716;-15,32687
E4_Bvp;1652178253,62279;-18,87191
E4_Bvp;1652178253,63841;-22,05822
ManipulatedHR;1652178248,52701;0
E4_Bvp;1652178253,65404;-24,10399
E4_Bvp;1652178253,66966;-24,27505
E4_Bvp;1652178253,68529;-22,13972
E4_Bvp;1652178253,70091;-17,79375
E4_Bvp;1652178253,71654;-11,83027
E4_Bvp;1652178253,73217;-5,098152
E4_Bvp;1652178253,74779;1,549225
E4_Bvp;1652178253,76342;7,547737
E4_Hr;1652178248,52701;91,42432
E4_Ibi;1652178248,52701;0,6562805
E4_Bvp;1652178253,77904;12,67898
E4_Bvp;1652178253,79467;16,95171
E4_Bvp;1652178253,81029;20,45422
E4_Bvp;1652178253,82592;23,18184
E4_Bvp;1652178253,84155;25,04183
E4_Bvp;1652178253,85717;25,87668
E4_Bvp;1652178253,8728;25,60381
E4_Bvp;1652178253,88842;24,23567
E4_Bvp;1652178253,90405;21,93826
E4_Bvp;1652178253,91967;18,95422
E4_Bvp;1652178253,9353;15,62389
E4_Bvp;1652178253,95093;12,29301
E4_Bvp;1652178253,96655;9,290009
E4_Bvp;1652178253,98218;6,819275
E4_Bvp;1652178253,9978;4,903534
E4_Bvp;1652178254,01343;3,334381
E4_Bvp;1652178254,02905;1,77919
E4_Bvp;1652178254,04468;-0,05499268
E4_Bvp;1652178254,06031;-2,307587
E4_Bvp;1652178254,07593;-4,87645
E4_Bvp;1652178254,09156;-7,521683
E4_Bvp;1652178254,10718;-10,02155
E4_Bvp;1652178254,12281;-12,26553
E4_Bvp;1652178254,13843;-14,27946
E4_Bvp;1652178254,15406;-16,14328
E4_Bvp;1652178254,16969;-17,90068
E4_Bvp;1652178254,18531;-19,54999
E4_Bvp;1652178254,20094;-21,12476
E4_Bvp;1652178254,21656;-22,75677
E4_Bvp;1652178254,23219;-24,68983
E4_Bvp;1652178254,24781;-27,15788
E4_Bvp;1652178254,26344;-30,1713
E4_Bvp;1652178254,27907;-33,35446
E4_Bvp;1652178254,29469;-35,95146
E4_Bvp;1652178254,31032;-37,03989
E4_Bvp;1652178254,32594;-35,84152
ManipulatedHR;1652178249,16766;0
E4_Bvp;1652178254,34157;-32,09409
E4_Bvp;1652178254,35719;-26,07249
E4_Bvp;1652178254,37282;-18,54367
E4_Bvp;1652178254,38845;-10,50351
E4_Bvp;1652178254,40407;-2,880249
E4_Bvp;1652178254,4197;3,615967
E4_Bvp;1652178254,43532;8,654419
E4_Hr;1652178249,16766;93,65421
E4_Ibi;1652178249,16766;0,6406546
E4_Bvp;1652178254,45095;12,22008
E4_Bvp;1652178254,46657;14,52333
E4_Bvp;1652178254,4822;15,83363
E4_Bvp;1652178254,49783;16,39229
E4_Bvp;1652178254,51345;16,32314
E4_Bvp;1652178254,52908;15,67917
E4_Bvp;1652178254,5447;14,52437
E4_Bvp;1652178254,56033;12,95302
E4_Bvp;1652178254,57595;11,15085
E4_Bvp;1652178254,59158;9,314056
E4_Bvp;1652178254,60721;7,621124
E4_Bvp;1652178254,62283;6,192841
E4_Bvp;1652178254,63846;5,084991
E4_Bvp;1652178254,65408;4,26889
E4_Bvp;1652178254,66971;3,627808
E4_Gsr;1652178253,516;0,3562529
E4_Gsr;1652178253,766;0,3575344
E4_Gsr;1652178254,016;0,3562529
E4_Gsr;1652178254,266;0,351127
E4_Gsr;1652178254,516;0,3549714
E4_Gsr;1652178254,766;0,35369
E4_Bvp;1652178254,68533;3,003189
E4_Bvp;1652178254,70096;2,15657
E4_Bvp;1652178254,71659;0,8894196
E4_Bvp;1652178254,73221;-0,9372253
E4_Bvp;1652178254,74784;-3,275604
E4_Bvp;1652178254,76346;-5,917725
E4_Bvp;1652178254,77909;-8,555893
E4_Bvp;1652178254,79471;-10,97606
E4_Bvp;1652178254,81034;-13,1348
E4_Bvp;1652178254,82597;-15,18571
E4_Bvp;1652178254,84159;-17,44174
E4_Bvp;1652178254,85722;-20,1443
E4_Bvp;1652178254,87284;-23,35381
E4_Bvp;1652178254,88847;-26,85857
E4_Bvp;1652178254,90409;-30,18814
E4_Bvp;1652178254,91972;-32,6779
E4_Bvp;1652178254,93535;-33,65485
E4_Bvp;1652178254,95097;-32,56538
E4_Bvp;1652178254,9666;-29,08253
E4_Bvp;1652178254,98222;-23,25586
E4_Bvp;1652178254,99785;-15,4335
E4_Bvp;1652178255,01347;-6,356934
ManipulatedHR;1652178249,83957;0
E4_Bvp;1652178255,0291;3,034546
E4_Bvp;1652178255,04473;11,68864
E4_Hr;1652178249,83957;89,29817
E4_Ibi;1652178249,83957;0,6719062
E4_Bvp;1652178255,06035;18,74757
E4_Bvp;1652178255,07598;23,68997
E4_Bvp;1652178255,0916;26,5162
E4_Bvp;1652178255,10723;27,64664
E4_Bvp;1652178255,12285;27,69476
E4_Bvp;1652178255,13848;27,2047
E4_Bvp;1652178255,15411;26,46513
E4_Bvp;1652178255,16973;25,49889
E4_Bvp;1652178255,18536;24,20601
E4_Bvp;1652178255,20098;22,57231
E4_Bvp;1652178255,21661;20,72319
E4_Bvp;1652178255,23223;18,89125
E4_Bvp;1652178255,24786;17,27362
E4_Bvp;1652178255,26349;15,89465
E4_Bvp;1652178255,27911;14,64113
E4_Bvp;1652178255,29474;13,27448
E4_Bvp;1652178255,31036;11,62891
E4_Bvp;1652178255,32599;9,633209
E4_Bvp;1652178255,34161;7,328751
E4_Bvp;1652178255,35724;4,796097
E4_Bvp;1652178255,37287;2,16066
E4_Bvp;1652178255,38849;-0,4044647
E4_Bvp;1652178255,40412;-2,743515
E4_Bvp;1652178255,41974;-4,709579
E4_Bvp;1652178255,43537;-6,254974
E4_Bvp;1652178255,45099;-7,489319
E4_Bvp;1652178255,46662;-8,637329
E4_Bvp;1652178255,48225;-10,01532
E4_Bvp;1652178255,49787;-11,91272
E4_Bvp;1652178255,5135;-14,52097
E4_Bvp;1652178255,52912;-17,82706
ManipulatedHR;1652178250,44897;0
ManipulatedHR;1652178251,10525;0
E4_Bvp;1652178255,54475;-21,55318
E4_Bvp;1652178255,56037;-25,11333
E4_Bvp;1652178255,576;-27,72687
E4_Bvp;1652178255,59163;-28,59712
E4_Bvp;1652178255,60725;-27,16
E4_Bvp;1652178255,62288;-23,2867
E4_Bvp;1652178255,6385;-17,3535
E4_Bvp;1652178255,65413;-10,12624
E4_Bvp;1652178255,66975;-2,509552
E4_Bvp;1652178255,68538;4,694397
E4_Bvp;1652178255,70101;10,90427
E4_Hr;1652178250,44897;98,45699
E4_Ibi;1652178250,44897;0,6094031
E4_Bvp;1652178255,71663;15,82262
E4_Bvp;1652178255,73226;19,36731
E4_Bvp;1652178255,74788;21,6425
E4_Bvp;1652178255,76351;22,88081
E4_Bvp;1652178255,77913;23,36787
E4_Bvp;1652178255,79476;23,35736
E4_Bvp;1652178255,81039;22,97783
E4_Bvp;1652178255,82601;22,21887
E4_Bvp;1652178255,84164;21,02119
E4_Bvp;1652178255,85726;19,39977
E4_Bvp;1652178255,87289;17,48546
E4_Bvp;1652178255,88852;15,50269
E4_Bvp;1652178255,90414;13,63005
E4_Bvp;1652178255,91977;11,92665
E4_Bvp;1652178255,93539;10,28978
E4_Bvp;1652178255,95102;8,590469
E4_Bvp;1652178255,96664;6,748901
E4_Bvp;1652178255,98227;4,807343
E4_Bvp;1652178255,9979;2,929535
E4_Bvp;1652178256,01352;1,260406
E4_Bvp;1652178256,02915;-0,1385345
E4_Bvp;1652178256,04477;-1,326126
E4_Bvp;1652178256,0604;-2,428864
E4_Bvp;1652178256,07602;-3,568802
E4_Bvp;1652178256,09165;-4,816025
E4_Bvp;1652178256,10728;-6,198593
E4_Bvp;1652178256,1229;-7,720322
E4_Bvp;1652178256,13853;-9,402878
E4_Bvp;1652178256,15415;-11,33463
E4_Bvp;1652178256,16978;-13,62686
E4_Bvp;1652178256,1854;-16,33611
E4_Bvp;1652178256,20103;-19,38933
E4_Bvp;1652178256,21666;-22,47661
E4_Gsr;1652178255,016;0,3549714
E4_Gsr;1652178255,266;0,35369
E4_Gsr;1652178255,516;0,35369
E4_Gsr;1652178255,766;0,3498455
E4_Gsr;1652178256,016;0,3498455
E4_Gsr;1652178256,266;0,3498455
E4_Bvp;1652178256,23228;-25,06079
E4_Bvp;1652178256,24791;-26,46292
E4_Bvp;1652178256,26353;-26,01857
E4_Bvp;1652178256,27916;-23,2941
E4_Bvp;1652178256,29478;-18,20676
E4_Bvp;1652178256,31041;-11,0575
E4_Bvp;1652178256,32604;-2,474777
E4_Bvp;1652178256,34166;6,701202
